Elapsed Sec,Evacuation Rate
607.17,0.8221154
607.19,0.8221154
607.21,0.8221154
607.23,0.8221154
607.2501,0.8221154
607.2701,0.8221154
607.2901,0.8221154
607.3101,0.8221154
607.3301,0.8221154
607.3502,0.8221154
607.3702,0.8221154
607.3902,0.8221154
607.4102,0.8221154
607.4302,0.8221154
607.4503,0.8221154
607.4703,0.8221154
607.4903,0.8221154
607.5103,0.8221154
607.5303,0.8221154
607.5504,0.8221154
607.5704,0.8221154
607.5904,0.8221154
607.6104,0.8221154
607.6304,0.8221154
607.6505,0.8221154
607.6705,0.8221154
607.6905,0.8221154
607.7105,0.8221154
607.7305,0.8221154
607.7505,0.8221154
607.7706,0.8221154
607.7906,0.8221154
607.8106,0.8221154
607.8306,0.8221154
607.8506,0.8221154
607.8707,0.8221154
607.8907,0.8221154
607.9107,0.8221154
607.9307,0.8221154
607.9507,0.8221154
607.9708,0.8221154
607.9908,0.8221154
608.0108,0.8221154
608.0308,0.8221154
608.0508,0.8221154
608.0709,0.8221154
608.0909,0.8221154
608.1109,0.8221154
608.1309,0.8221154
608.1509,0.8221154
608.171,0.8221154
608.191,0.8221154
608.211,0.8221154
608.231,0.8221154
608.251,0.8221154
608.2711,0.8221154
608.2911,0.8221154
608.3111,0.8221154
608.3311,0.8221154
608.3511,0.8221154
608.3712,0.8221154
608.3912,0.8221154
608.4112,0.8221154
608.4312,0.8221154
608.4512,0.8221154
608.4713,0.8221154
608.4913,0.8221154
608.5113,0.8221154
608.5313,0.8221154
608.5513,0.8221154
608.5714,0.8221154
608.5914,0.8221154
608.6114,0.8221154
608.6314,0.8221154
608.6514,0.8221154
608.6714,0.8221154
608.6915,0.8221154
608.7115,0.8221154
608.7315,0.8221154
608.7515,0.8221154
608.7715,0.8221154
608.7916,0.8221154
608.8116,0.8221154
608.8316,0.8221154
608.8516,0.8221154
608.8716,0.8221154
608.8917,0.8221154
608.9117,0.8221154
608.9317,0.8221154
608.9517,0.8221154
608.9717,0.8221154
608.9918,0.8221154
609.0118,0.8221154
609.0318,0.8221154
609.0518,0.8221154
609.0718,0.8221154
609.0919,0.8221154
609.1119,0.8221154
609.1319,0.8221154
609.1519,0.8221154
609.1719,0.8221154
609.192,0.8221154
609.212,0.8221154
609.232,0.8221154
609.252,0.8221154
609.272,0.8221154
609.2921,0.8221154
609.3121,0.8221154
609.3321,0.8221154
609.3521,0.8221154
609.3721,0.8221154
609.3922,0.8221154
609.4122,0.8221154
609.4322,0.8221154
609.4522,0.8221154
609.4722,0.8221154
609.4922,0.8221154
609.5123,0.8221154
609.5323,0.8221154
609.5523,0.8221154
609.5723,0.8221154
609.5923,0.8221154
609.6124,0.8221154
609.6324,0.8221154
609.6524,0.8221154
609.6724,0.8221154
609.6924,0.8221154
609.7125,0.8221154
609.7325,0.8221154
609.7525,0.8221154
609.7725,0.8221154
609.7925,0.8221154
609.8126,0.8221154
609.8326,0.8221154
609.8526,0.8221154
609.8726,0.8221154
609.8926,0.8221154
609.9127,0.8221154
609.9327,0.8221154
609.9527,0.8221154
609.9727,0.8221154
609.9927,0.8221154
610.0128,0.8221154
610.0328,0.8221154
610.0528,0.8221154
610.0728,0.8221154
610.0928,0.8221154
610.1129,0.8221154
610.1329,0.8221154
610.1529,0.8221154
610.1729,0.8221154
610.1929,0.8221154
610.213,0.8221154
610.233,0.8221154
610.253,0.8221154
610.273,0.8221154
610.293,0.8221154
610.313,0.8221154
610.3331,0.8221154
610.3531,0.8221154
610.3731,0.8221154
610.3931,0.8221154
610.4131,0.8221154
610.4332,0.8221154
610.4532,0.8221154
610.4732,0.8221154
610.4932,0.8221154
610.5132,0.8221154
610.5333,0.8221154
610.5533,0.8221154
610.5733,0.8221154
610.5933,0.8221154
610.6133,0.8221154
610.6334,0.8221154
610.6534,0.8221154
610.6734,0.8221154
610.6934,0.8221154
610.7134,0.8221154
610.7335,0.8221154
610.7535,0.8221154
610.7735,0.8221154
610.7935,0.8221154
610.8135,0.8221154
610.8336,0.8221154
